condition,trial,sub_task,x,y,xt,yt,cat,resp,rt,acc,correct_resp
4F4K,1,2,35.03233598895478,47.39533498204108,1.0359612783360015,50.09412910879224,2,b,5.0,NA,b
4F4K,2,1,59.45975203418635,47.7613168129356,1.7216508100437842,50.41711538725529,2,n,4.813603599999624,correct,n
4F4K,3,2,40.49304112689276,34.10484171001306,1.1605359660651895,38.3514851129727,1,v,5.0,correct,v
4F4K,4,2,38.85489964962798,57.20716863608294,1.1216689877382204,58.51956080016716,2,b,4.556054900000163,correct,b
4F4K,5,2,54.59275495904024,41.30118020294978,1.555935923760572,44.6826947736428,1,b,4.014431399999012,incorrect,v
4F4K,6,1,45.01447997288344,57.92067357584856,1.2749444585848957,59.105480297296985,1,n,5.0,incorrect,c
4F4K,7,2,42.71342263195479,33.026717932591936,1.2153759751863176,37.42207911027561,1,b,3.3268553000016254,incorrect,v
