condition,trial,sub_task,x,y,xt,yt,cat,resp,rt
4F4K,1,2,24.642279748801645,36.57519323738367,0.8346645439316205,40.37685943788557,2,v,0.780500499997288
4F4K,2,2,74.82109316295832,51.55388349886142,2.3695823419918587,53.185046540521284,1,v,0.7797516669961624
4F4K,3,2,25.59836277408338,45.55595705381478,0.8514247203682158,48.084728177185525,2,b,0.47038524999516085
4F4K,4,2,27.298994067919782,68.35915787736562,0.8820729140062504,66.05509978234403,2,b,0.5163240420079092
4F4K,5,2,76.70362584230504,34.74192051459715,2.4641819324808294,38.827392221743395,1,v,0.5270159170031548
4F4K,6,1,24.51429327797134,49.17344086993005,0.8324461178807199,51.17658446333881,1,c,0.8868259580049198
4F4K,7,1,24.926749143863077,51.432904610516616,0.839616529505205,53.08363564953321,1,c,1.4492180829984136
4F4K,8,1,77.7779716262865,39.76612905137906,2.5198522572091027,43.10275546582565,2,n,0.9338496669952292
4F4K,9,1,72.77215634695881,52.3963585460073,2.2707434055125324,53.88902078560497,2,n,0.8212020409991965
4F4K,10,2,73.84347856431005,45.00517311509229,2.321897614252644,47.61132073975775,1,v,1.4039861659985036
4F4K,11,1,25.680784188945317,49.277133947334136,0.8528852328050437,51.26459515585778,1,c,1.0734139999985928
4F4K,12,1,74.79538102641932,31.535266256586407,2.368315738766586,36.159819284246055,2,c,0.6536917500052368
4F4K,13,2,76.77470056190687,44.60150075226945,2.467826580674687,47.26409464336616,1,v,1.5336562909942586
4F4K,14,1,71.61076716118541,55.997467055862856,2.21656092112336,56.84684294987654,2,c,0.8369558339909418
