condition,trial,sub_task,x,y,xt,yt,cat,resp,rt
4F4K,1,1,60.875648447695426,71.01096215883557,1.7730945299020342,67.17113270008299,1,k,0.0004331250092945993
4F4K,2,2,52.759900314232006,62.96341090330935,1.4977501826373958,61.72327806883994,2,k,0.0005507090245373547
