condition,trial,sub_task,x,y,xt,yt,cat,resp,rt
4F4K,1,2,53.84068580646594,40.65851180827701,1.531792175480917,44.07844418643092,1,b,1.0798403000007966
4F4K,2,2,64.34517998401526,49.86492373311663,1.9057454075483944,52.155872999262094,1,v,0.6417886999988696
4F4K,3,1,50.32496498346489,65.10807542859112,1.423802411142443,64.48329986405598,1,n,0.8415413000002445
4F4K,4,1,52.46520341251073,69.23521297199437,1.4885999600801494,67.37531515743173,1,c,2.077611500000785
4F4K,5,2,65.73906230138357,50.867698821295534,1.96179170336472,53.02180399162872,1,b,0.5594220999992103
4F4K,6,1,45.06477631366934,49.78753971004824,1.2762785988812042,52.088855864114095,1,c,0.5277935999984038
4F4K,7,2,48.93333512480928,34.5490330511486,1.3831906805385443,38.75281444670537,1,b,0.5196696999992128
4F4K,8,2,46.94717246971116,40.32839094788522,1.327227030727519,43.78804614897186,1,b,0.2853872000014235
4F4K,9,1,40.28597711706696,54.179750168229205,1.1555497018412544,55.842349962975256,1,n,0.4284348000001046
4F4K,10,1,44.41874627535863,64.54578021922369,1.2592479551554567,64.07115474826644,1,n,0.3687425999996776
4F4K,11,2,45.39749987469722,58.7165676328572,1.2851395230712577,59.575576358143216,2,b,0.40792579999833833
4F4K,12,2,50.23927241366336,57.402226890146736,1.4212675584652668,58.51228473039722,2,b,0.342831699999806
4F4K,13,1,63.1923811776086,46.04010384121472,1.8606045184197384,48.81751895446854,2,n,0.22288879999905475
