,condition,trial,sub_task,x,y,xt,yt,cat,resp,rt,acc,correct_resp
0,2F4K,1,1,55.47909640694665,37.26240942139607,1.5848792113492869,41.22857321141072,2,n,2.6896469999992405,correct,n
1,2F4K,2,2,57.86003355457303,45.29791884505224,1.6653218252678128,48.41567172706018,1,v,3.3140213999995467,correct,v
2,2F4K,3,2,53.23538318971319,69.52643652039966,1.5126324727237508,68.16197049071138,2,b,3.713042700001097,correct,b
3,2F4K,4,1,54.004893631216405,38.13420500926896,1.5370315819720135,42.00301748802095,2,n,2.062290600000779,correct,n
4,2F4K,5,1,49.2329546073614,40.59990716021486,1.3918354305478031,44.204533845277055,2,n,2.2102678999999625,correct,n
5,2F4K,6,1,57.34365742007134,46.564254835001336,1.647535695050946,49.54759913801146,2,n,2.3567118999999366,correct,n
6,2F4K,7,2,48.57339126389099,32.27916693400822,1.3728763927243424,36.867182478227626,1,b,4.3337434999994,incorrect,v
7,2F4K,8,2,48.21334750823056,61.26713121598824,1.362636186780582,62.076509503423225,2,v,2.001579600000696,incorrect,b
8,2F4K,9,2,40.88438438321979,54.05069560875787,1.170018654108203,56.11741655487698,2,b,2.1427129000003333,correct,b
9,2F4K,10,2,67.14062306380274,56.19962096642931,2.019808746078371,57.94094187981575,1,b,4.0650278000011895,incorrect,v
10,2F4K,11,1,48.75295018481374,61.72230872219994,1.378012051745921,62.43479430853979,1,n,1.7528380999992805,incorrect,c
11,2F4K,12,2,36.30590617447621,48.5123766348168,1.0637633114358933,51.28097899220264,2,b,5.0,incorrect,b
12,2F4K,13,1,43.14416195762622,27.195137200132333,1.2263109634294125,32.59052741149756,2,n,2.2216365999993286,correct,n
13,2F4K,14,2,34.09993204011265,47.73259002798066,1.016068707098484,50.58854570313292,2,b,1.534278399998584,correct,b
14,2F4K,15,1,56.184459259854414,36.1546701493487,1.6082969196873742,40.24854719154312,2,n,1.6374310000010155,correct,n
15,2F4K,16,2,47.52559584533667,61.73405867284453,1.3432872780582148,62.44401144590766,2,b,1.9287381000012829,correct,b
