,condition,trial,sub_task,x,y,xt,yt,cat,resp,rt,acc,correct_resp
0,4F4K,1,2,67.52573751044586,57.745588019450736,2.0360487788069697,59.244958329330885,1,v,0.9690482000000884,correct,v
1,4F4K,2,2,55.47182490997103,43.28851673090151,1.5846395853821127,46.65578106705189,1,v,0.9456141000000571,correct,v
2,4F4K,3,1,23.97774702909033,40.58939119680821,0.8232099989641651,44.24083058404117,1,n,1.1595796000001428,incorrect,c
3,4F4K,4,2,47.68188319463664,31.22718330576872,1.3476599343527391,36.02734642385892,1,v,0.7165410999996311,correct,v
4,4F4K,5,2,40.33827368758429,50.47998486293889,1.1568070186436537,53.0458278545234,2,v,0.643717899999956,incorrect,b
5,4F4K,6,2,66.48720517552883,59.11983494386385,1.992550315404032,60.36909050907816,1,b,1.1883766000000833,incorrect,v
6,4F4K,7,2,56.28865181860863,44.28081315668198,1.6117852709544744,47.543767416429375,1,b,0.9577500999998847,incorrect,v
7,4F4K,8,2,45.724200511913466,57.17877643021714,1.2938999044403097,58.77608838221752,2,v,0.6600681999998415,incorrect,b
8,4F4K,9,2,34.665316272670246,54.69699664108755,1.028084956953039,56.6905474011925,2,v,2.258049999999912,incorrect,b
9,4F4K,10,2,45.77112150694397,37.930908946700825,1.2951629717546127,41.87262035253038,1,b,1.0503435000000536,incorrect,v
10,4F4K,11,2,57.07644788233731,40.492156195599016,1.63840660498955,44.153956042270174,1,v,0.7211849000000257,correct,v
11,4F4K,12,2,52.323884374503336,45.79361925134776,1.484231911815738,48.89558992569973,1,v,0.5208306999998058,correct,v
12,4F4K,13,2,59.469667132863016,41.04828514658077,1.722005814332465,44.65100624421272,1,v,0.5686529999998129,correct,v
13,4F4K,14,2,52.17269244975695,64.41853737719539,1.4795728920188145,64.5114473803661,2,b,0.6603405999999268,correct,b
14,4F4K,15,1,58.83238954229074,74.74951403009142,1.6993366474776066,71.47384001120159,1,n,0.7575263999997333,incorrect,c
15,4F4K,16,1,56.81922361042776,61.606950098817975,1.629666444912802,62.35391518557046,1,c,0.696797499999775,correct,c
16,4F4K,17,1,36.84685027659073,50.92569264352127,1.0757967296106763,53.43597799370352,1,n,0.654710900000282,incorrect,c
17,4F4K,18,1,42.16869618249447,23.73703215665122,1.201686762756756,29.895718040875305,2,c,0.9213637000002564,incorrect,n
18,4F4K,19,1,70.14422057418068,60.16445053700465,2.1499850339182807,61.21087148623556,2,c,0.9759471000002122,incorrect,n
19,4F4K,20,1,58.14895912431639,48.8253952811038,1.675357259060512,51.58942600919681,2,n,0.5746725000003607,correct,n
20,4F4K,21,2,40.804632203642505,49.25464697366344,1.1680799032842577,51.968388414065856,2,v,0.854620199999772,incorrect,b
21,4F4K,22,1,48.39702072449758,30.496016534359978,1.3678505597995796,35.40652085391909,2,c,0.9568487999999888,incorrect,n
22,4F4K,23,1,54.53445967348223,43.858367039774485,1.554050935477861,47.16580293354603,2,n,0.5208188999999948,correct,n
23,4F4K,24,1,71.5183217187086,53.3536975327594,2.2123040105436163,55.54184037161628,2,c,0.6361274000000776,incorrect,n
24,4F4K,25,1,51.30683893582076,34.46068428254655,1.4531716928542986,38.81690077086049,2,n,0.5511153000002196,correct,n
25,4F4K,26,2,69.30576654617472,57.06327723562895,2.112824588444816,58.68018875175351,1,v,0.8485679000000346,correct,v
26,4F4K,27,1,50.91733386274498,39.796492279460985,1.4414492220408843,43.53287288668516,2,c,0.6118494000002102,incorrect,n
27,4F4K,28,2,47.21976817421363,31.951880974570766,1.334771738371214,36.646573504750805,1,b,0.8121249999999236,incorrect,v
28,4F4K,29,2,56.15201629186598,38.58823013097995,1.607212276138391,42.45654781673898,1,v,0.6777781999999206,correct,v
29,4F4K,30,1,46.62424394033624,62.08190614792192,1.31834441249244,62.72510650065992,1,c,0.7696246999998948,correct,c
30,4F4K,31,1,58.32975298632561,44.02179637429816,1.6816676236353003,47.312040295865074,2,n,0.5511271999998826,correct,n
31,4F4K,32,2,70.18595039484019,52.484542496248224,2.1518514871552306,54.792070592821474,1,v,0.6118905999996969,correct,v
32,4F4K,33,1,32.39792259359188,53.21368792137423,0.9807366367690876,55.42139285431403,1,n,0.5996765999998388,incorrect,c
33,4F4K,34,1,45.96585379982131,57.22489783105812,1.3004181652763005,58.81434975881249,1,c,0.6846905000002153,correct,c
34,4F4K,35,1,43.14150191766967,50.5452656891246,1.226243133170356,53.103033483783584,1,c,0.5208309000004192,correct,c
35,4F4K,36,2,54.71949336270891,39.82709366374002,1.560041924876203,43.560175016910094,1,v,0.6609115000001111,correct,v
36,4F4K,37,1,46.24612889971997,57.758849489681246,1.3080193352142422,59.25589282638611,1,c,0.5754292000001442,correct,c
37,4F4K,38,2,58.74063228621613,43.55879936585577,1.6960973390745415,46.89770543224443,1,b,0.5330509000000347,incorrect,v
38,4F4K,39,2,46.32095934576816,52.83063606231704,1.310056270119946,55.091204720562985,2,v,0.5451217999998335,incorrect,b
39,4F4K,40,2,46.72387256539847,51.55308957950373,1.3210784828175413,53.98341545032187,2,b,0.7027252000002591,correct,b
40,4F4K,41,1,50.76887257500359,60.90017728834541,1.437006091327001,61.796758038736336,1,n,1.7799663999999211,incorrect,c
41,4F4K,42,2,44.963282013417945,68.45416125880237,1.2735878346585945,67.42561086451977,2,v,0.6877540999998928,incorrect,b
42,4F4K,43,1,35.11231071702347,54.94415384242093,1.0376855440103765,56.900469061151774,1,c,0.6179044000000431,correct,c
43,4F4K,44,2,50.77440712635968,63.69767907796589,1.437171482656298,63.96762865601462,2,b,0.5450862000002417,correct,b
44,4F4K,45,1,52.34562134632702,61.5136997107485,1.484902947597921,62.28073027211465,1,n,0.623961700000109,incorrect,c
45,4F4K,46,1,42.60319537571733,54.610735488216825,1.2125933883289548,56.61717349520543,1,c,0.5208201999998892,correct,c
46,4F4K,47,2,39.373535345631744,52.00539973198329,1.133831346530541,54.37672991857031,2,v,0.47768290000021807,incorrect,b
47,4F4K,48,1,41.79041748134964,26.090852843386585,1.1922712732591143,31.76293738689499,2,n,0.9036316000001534,correct,n
48,4F4K,49,1,72.1424279403649,62.35410676652171,2.2412022378380865,62.93664435490681,2,c,0.5389861000003293,incorrect,n
49,4F4K,50,2,52.65496002030663,41.07958037303347,1.4944853974842522,44.67898870664423,1,v,0.5268859999996494,correct,v
50,4F4K,51,1,44.43620524485715,30.303646658313056,1.259705206944946,35.24386717879311,2,n,0.8606744999997318,correct,n
51,4F4K,52,1,41.02407779757264,55.83447923136119,1.1734223156332544,57.65271819539841,1,c,0.6422093000001041,correct,c
52,4F4K,53,1,42.21219041078817,53.25944410405816,1.2027741044310647,55.460770312893175,1,c,0.5989322999998876,correct,c
53,4F4K,54,2,36.75253713577451,56.73876973938732,1.073688958989981,58.41011384694105,2,v,0.617894399999841,incorrect,b
54,4F4K,55,1,66.43632041495613,53.39682026084321,1.99044307540805,55.57891168496994,2,n,0.6300679999999375,correct,n
55,4F4K,56,2,21.33791237896857,41.903719310979454,0.7792387741354322,45.41623329812951,2,b,0.696874800000387,correct,b
56,4F4K,57,1,41.53792110735004,58.480236206478914,1.186027641144352,59.84818778519404,1,c,0.6723928999999771,correct,c
57,4F4K,58,1,51.47488706334296,39.48085886206205,1.4582586298270934,43.25138056235416,2,n,0.4300588000000971,correct,n
58,4F4K,59,2,59.72051331400148,49.2330023561516,1.7310116081279798,51.94929732192175,1,v,0.6422572999999829,correct,v
59,4F4K,60,2,71.42642387824031,53.764979398906064,2.208080418779992,55.894893766373805,1,v,0.5450711000003139,correct,v
60,4F4K,61,2,40.6738538065078,51.94117626420535,1.164907671673536,54.32095480059176,2,v,0.4299445999999989,incorrect,b
61,4F4K,62,2,56.34174127302293,68.81435123221952,1.613565606674891,67.6742944702863,2,b,0.862398000000212,correct,b
62,4F4K,63,1,41.60765112641781,56.67639384158046,1.1877486226800915,58.35809478355584,1,c,0.793907499999932,correct,c
63,4F4K,64,2,43.562324920267066,60.12456288955728,1.237020790363554,61.17893961241429,2,v,0.5026173999999628,incorrect,b
64,4F4K,65,2,61.12137258416073,75.00327480012544,1.7821776791603725,71.62306415998572,2,b,0.4968487000001005,correct,b
65,4F4K,66,1,47.34614241786162,55.22860348641242,1.3382839691888646,57.14148519941377,1,n,0.7696508000003632,incorrect,c
66,4F4K,67,2,49.752432121384594,34.57367962330359,1.4069518572738209,38.91552198511764,1,v,0.7391833000001498,correct,v
67,4F4K,68,1,62.15148232534946,51.58252946853464,1.8207646708747396,54.00905071542973,2,n,0.40807059999997364,correct,n
68,4F4K,69,2,32.40163814577241,43.27795452331358,0.9808124140918372,46.64632655759496,2,v,0.7817481000001862,incorrect,b
69,4F4K,70,2,54.125988760088205,41.67799025089952,1.5409068620384003,45.2142473728978,1,b,0.5633280000001832,incorrect,v
70,4F4K,71,1,45.32146700486204,29.85723289382527,1.2831092469745211,34.86755243730002,2,c,1.4068781000000854,incorrect,n
71,4F4K,72,1,37.83310570520048,52.12462268337856,1.0980876160934645,54.48020545568078,1,n,0.49052549999987605,incorrect,c
72,4F4K,73,1,58.53875242607154,43.72023166454518,1.6889920913490415,47.042185121761165,2,n,0.7150160999999571,correct,n
73,4F4K,74,1,47.80873445146111,71.27473311826672,1.3512194812876055,69.31930114002,1,n,0.8302973999998358,incorrect,c
74,4F4K,75,2,38.89393390147036,57.93497409903904,1.1225798098330029,59.40095680841897,2,b,0.3569567999998071,correct,b
75,4F4K,76,2,50.697912597919824,72.26029620244324,1.4348872500998937,69.95103629784602,2,b,0.6057910999998057,correct,b
76,4F4K,77,1,50.68163480128345,39.29922297507314,1.4344016412294007,43.08948888332828,2,c,0.7216748999999254,incorrect,n
77,4F4K,78,1,60.7309049417012,41.60459346831833,1.7677657930317896,45.14857878803819,2,n,0.7331911000001128,correct,n
78,4F4K,79,2,53.678087216445945,34.667296569317244,1.5266217136208773,38.9972813044818,1,b,0.4784264999998413,incorrect,v
79,4F4K,80,1,56.69989511533564,69.1153406020832,1.6256276584460083,67.88059662018159,1,n,0.6724892999995973,incorrect,c
80,4F4K,81,2,31.830816892681625,42.161743435602105,0.9692390973495838,45.647155424083394,2,v,1.0063595000001442,incorrect,b
81,4F4K,82,1,64.77654471115109,51.09739080941303,1.9229167990164635,53.58600277387982,2,n,1.6980693999998948,correct,n
