,condition,trial,sub_task,x,y,xt,yt,cat,resp,rt,acc,correct_resp
0,4F4K,1,2,28.49237206095741,39.70031864632727,0.904235937607158,43.24338511017197,2,v,3.277588200000082,incorrect,b
1,4F4K,2,1,49.70573415388854,71.98820545666426,1.405586290044346,69.42717750370755,1,n,1.6072997999999643,incorrect,c
2,4F4K,3,2,44.59064717789562,28.029193662434327,1.2637572908583483,33.19704679238463,1,v,0.7650542999999743,correct,v
3,4F4K,4,2,66.62467252837614,50.51994108454908,1.998254275219025,52.8232363369697,1,v,2.0988593000001856,correct,v
4,4F4K,5,2,30.730220702401965,36.84773407386525,0.9473087537331482,40.72395190939559,2,b,2.111202200000207,correct,b
5,4F4K,6,2,43.72254524389013,28.476539506013108,1.2411490308323958,33.56502752653194,1,b,1.0685438000000431,incorrect,v
6,4F4K,7,2,24.77865177942034,38.7259364553659,0.8370348253667945,42.38019796501725,2,b,5.0,incorrect,b
7,4F4K,8,2,50.59480996504509,33.02195374745212,1.4318142061140582,37.39671251530855,1,b,0.7751927000003889,incorrect,v
8,4F4K,9,1,58.18142837925524,43.98800555670726,1.67648880734924,47.05665061511536,2,n,0.9649595999999292,correct,n
9,4F4K,10,1,63.08800819890148,52.07524228740891,1.8565706877900197,54.17215856811652,2,n,1.1705004000000372,correct,n
10,4F4K,11,2,53.0834902596889,68.22281128800964,1.5078623230016313,66.9278695000743,2,v,3.3079603999999563,incorrect,b
11,4F4K,12,2,72.57491397187763,56.8422205065035,2.261448934716814,58.20839900986673,1,v,2.2748563000000104,correct,v
12,4F4K,13,1,52.99719135845302,41.51695212032876,1.5051588374582685,44.85739294653951,2,n,2.961995599999682,correct,n
13,4F4K,14,1,40.390391392062696,50.49101406853362,1.1580613961737831,52.79802841918495,1,c,3.1928828999998586,correct,c
14,4F4K,15,2,51.509303689161264,36.85896042098378,1.459302640592511,40.733815457386335,1,v,1.9109669999998005,correct,v
15,4F4K,16,1,51.96081016985868,42.424205615953774,1.4730682810613691,45.66475821862251,2,n,1.7610110999999051,correct,n
16,4F4K,17,1,64.69772910706834,45.32280190783784,1.9197678648684933,48.24340125733465,2,n,1.3523870999997598,correct,n
17,4F4K,18,1,42.64016458867145,60.56386245325302,1.2135259317442644,61.2247833140101,1,n,2.5626578999999765,incorrect,c
18,4F4K,19,1,41.23327428609143,58.23040392663569,1.1785379607395676,59.34929222254392,1,c,0.794024299999819,correct,c
19,4F4K,20,2,45.11442269584191,56.25415519460035,1.27759686777294,57.71991678501141,2,b,1.7457982000000811,correct,b
20,4F4K,21,2,69.16754084307723,54.55697319565829,2.106760368225085,56.29427347475119,1,v,3.2595304999999826,correct,v
21,4F4K,22,2,41.83653815632668,61.53372610713348,1.193415272464286,61.9872757093144,2,b,3.969526500000029,correct,b
22,4F4K,23,1,42.88370353585334,59.59333734189097,1.21968711821667,60.45152317208966,1,c,1.3448871999999028,correct,c
23,4F4K,24,2,29.291243812528045,47.22276467732632,0.9193826299054072,49.92739208821293,2,b,2.3416369999999915,correct,b
24,4F4K,25,1,57.51307434418906,74.64320891806699,1.6533500770250342,71.05080497936949,1,n,3.1379549999996925,incorrect,c
25,4F4K,26,1,65.94823503468753,74.69904662948628,1.9703433457689368,71.08365684108708,1,n,1.3402408000001742,incorrect,c
26,4F4K,27,2,35.74058977809318,55.92095372914099,1.0513315362428244,57.44184262738207,2,b,3.0591380000000754,correct,b
27,4F4K,28,1,68.86458723375628,55.716598314728415,2.093530036514269,57.27084535184015,2,n,2.9557707000003575,correct,n
28,4F4K,29,1,53.02593564797827,44.86247960557144,1.5060587709757156,47.83437621591733,2,c,1.3826687000000675,incorrect,n
29,4F4K,30,1,47.3236803046301,69.7587522620096,1.3376590207592425,67.97406303232573,1,c,3.805643500000315,correct,c
30,4F4K,31,2,57.91016984729632,71.80156237371612,1.6670589200450625,69.30859699877583,2,b,4.0058515000000625,correct,b
31,4F4K,32,2,57.11707122958167,71.2326449122657,1.639791215285163,68.94364045444304,2,b,1.4559158000001844,correct,b
32,4F4K,33,1,34.42159555179753,23.35814649276329,1.0228877725027554,29.47483178787096,2,c,4.558133600000019,incorrect,n
33,4F4K,34,1,61.85349449617536,77.78869718291091,1.8095172173884888,72.81505096431805,1,n,2.616151500000342,incorrect,c
34,4F4K,35,1,54.213893289742366,39.28543744725708,1.543726097492996,42.87557967674268,2,c,2.391084399999727,incorrect,n
35,4F4K,36,1,46.017385966918255,62.16128868606444,1.3018124159443587,62.47496378753567,1,n,2.506011699999817,incorrect,c
36,4F4K,37,1,50.29570662595059,32.92831239502077,1.422936418356441,37.31627718553242,2,n,4.516721700000289,correct,n
37,4F4K,38,1,56.69041995159863,39.921911596777214,1.625307391782646,43.43998030338905,2,n,1.8439736000000266,correct,n
38,4F4K,39,2,60.31516230521162,47.30456995425901,1.7525491064733982,49.9997027218801,1,v,2.9741981000001942,correct,v
39,4F4K,40,2,52.98950047433348,37.133092253083866,1.5049181405071843,40.9748176521704,1,v,2.012913699999899,correct,v
40,4F4K,41,2,38.15304384498488,60.94140490533256,1.1054174678356927,61.52284639586789,2,v,3.714375300000029,incorrect,b
