Unnamed: 0,cursor_vis,endpoint_vis,clamp,rot,trial,cycle_phase,target_angle,instruct_phase,instruct_state,Endpoint_Theta,movement_time,movement_initiation_time,difference
0,1,1,1,30.04677333,146,26,135,,1,130.051297,0.16703,0.2651537,4.948702999999995
0,1,1,1,29.81942101,147,27,135,,1,134.0192968,0.1310364,0.4351193,0.9807031999999936
0,1,1,1,30.07432385,148,28,135,,1,129.4165385,0.150004,0.3841759,5.5834614999999985
0,1,1,1,29.65923823,149,29,135,,1,128.5453091,0.1339375,0.2312636,6.454690900000003
0,1,1,1,30.22474264,150,30,135,,1,132.4971398,0.1340073,0.3661506,2.5028601999999864
0,1,1,1,31.53267447,151,31,135,,1,135.0268947,0.1499848,0.3171854,0.026894700000013927
0,1,1,1,29.65086801,152,32,135,,1,135.3050579,0.1510094,0.2671722,0.30505790000000843
0,1,1,1,30.79066484,153,33,135,,1,133.1423031,0.1659767,0.3332029,1.8576969000000076
0,1,1,1,29.14631869,154,34,135,,1,130.9007815,0.150007,0.4161688,4.099218500000006
0,1,1,1,29.52981398,155,35,135,,1,129.4665254,0.1499508,0.3660813,5.533474600000005
0,1,1,1,28.50930771,156,36,135,,1,129.1471296,0.1330289,0.3340585,5.8528704000000005
0,1,1,1,28.15289903,157,37,135,,1,134.9643474,0.1329376,0.26723,0.03565259999999171
0,1,1,1,29.49190999,158,38,135,,1,134.963497,0.1670499,0.4161557,0.03650300000001039
0,1,1,1,30.56839327,159,39,135,,1,131.2250311,0.1509973,0.2831616,3.7749689000000046
0,1,1,1,31.39165331,160,40,135,,1,135.8257608,0.1670355,0.2501214,0.8257608000000118
0,1,1,1,30.50819331,161,41,135,,1,134.0399427,0.1840224,0.3341512,0.9600572999999883
0,1,1,1,29.5611277,162,42,135,,1,130.9812048,0.1839814,0.1332124,4.0187952
0,1,1,1,29.79900363,163,43,135,,1,134.5118657,0.1490034,0.4181454,0.4881343000000129
0,1,1,1,31.91044246,164,44,135,,1,131.7941088,0.1341212,0.3501552,3.2058911999999964
0,1,1,1,31.09246869,165,45,135,,1,129.8694961,0.1330346,1.1171499,5.130503900000008
0,1,1,1,29.63693961,166,46,135,,1,133.1425773,0.1329492,0.5332581,1.8574227000000008
0,1,1,1,28.80163999,169,49,135,,1,127.4981766,0.115979,0.5511752,7.501823400000006
0,1,1,1,30.46154765,170,50,135,,1,123.7481648,0.1340372,0.2641531,11.251835200000002
0,1,1,1,30.70182559,171,51,135,,1,130.1607375,0.1170839,0.3171458,4.83926249999999
0,1,1,1,30.06761216,172,52,135,,1,136.1824001,0.1170575,0.3501652,1.1824000999999953
0,1,1,1,30.65978159,173,53,135,,1,125.942988,0.1489801,0.3681905,9.057012
0,1,1,1,30.14235335,174,54,135,,1,130.3193899,0.1650425,0.4851629,4.6806100999999956
0,1,1,1,30.13281895,175,55,135,,1,136.0831381,0.164979,0.4181726,1.0831381000000135
0,1,1,1,29.00489396,176,56,135,,1,138.7283808,0.1169972,0.4842175,3.7283807999999965
0,1,1,1,29.04353944,178,58,135,,1,131.2376855,0.1490094,0.3681852,3.7623145000000022
0,1,1,1,29.90954716,179,59,135,,1,127.0548132,0.1330486,0.4001566,7.945186800000002
0,1,1,1,31.28622753,180,60,135,,1,129.3042352,0.1330602,0.3330882,5.695764800000006
