Unnamed: 0,cursor_vis_x,midpoint_vis_x,endpoint_vis_x,cursor_sig_x,cursor_mp_sig_x,cursor_ep_sig_x,clamp_x,rot_x,trial,cycle_phase,target_angle_x,instruct_phase,instruct_state,endpoint_theta,cursor_vis_y,midpoint_vis_y,endpoint_vis_y,cursor_sig_y,cursor_mp_sig_y,cursor_ep_sig_y,clamp_y,rot_y,no_uncertainty,low_uncertainty,high_uncertainty,unlimited_uncertainty,cycle,target_angle_y,previous_uncertainty
0,1,1,0,0,0,0,0,0.0,1,0,90,92.38594403,0.090963167,0.5294945839999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90,no_uncertainty
0,1,1,0,0,0,0,0,0.0,2,1,90,88.33489394,0.062838,0.249226917,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,90,no_uncertainty
0,1,1,0,0,0,0,0,0.0,3,2,90,88.93415497,0.07018825,0.35174141600000003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,90,no_uncertainty
0,1,1,0,0,0,0,0,0.0,4,3,90,90.87690774,0.077369958,0.36213925,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,90,no_uncertainty
0,1,1,0,0,0,0,0,0.0,5,4,90,92.84661692,0.09538375,0.44853554100000004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,90,no_uncertainty
0,1,1,0,0,0,0,0,0.0,6,5,90,91.9945693,0.039523042,0.342909084,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,90,no_uncertainty
0,1,1,0,0,0,0,0,0.0,7,6,90,92.87676507,0.075815,0.4237665,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,90,no_uncertainty
0,1,1,0,0,0,0,0,0.0,8,7,90,92.26050191,0.06860058299999999,0.12085425,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,90,no_uncertainty
0,1,1,0,0,0,0,0,0.0,9,8,90,90.57872557,0.07681129099999999,0.36334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,90,no_uncertainty
0,1,1,0,0,0,0,0,0.0,10,9,90,88.23372951,0.057161540999999996,0.46713366700000003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,90,no_uncertainty
