Unnamed: 0,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,no_uncertainty,low_uncertainty,high_uncertainty,unlimited_uncertainty,endpoint_theta,movement_time,movement_initiation_time,previous_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0.0,0.0,0.0,0.0,64.85521436932105,0.233947100000023,0.4992367999999487,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,90,0.0,0.0,0.0,0.0,64.85521436932105,0.2149957000000313,0.7002367999999706,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,90,0.0,0.0,0.0,0.0,64.85521436932105,0.198937600000022,0.5322602999999617,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,90,0.0,0.0,0.0,0.0,64.85521436932105,0.2169573999999556,0.4842418999999154,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,90,0.0,0.0,0.0,0.0,64.85521436932105,0.2170073999998294,0.3832078000000365,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,90,0.0,0.0,0.0,0.0,64.85521436932105,0.2159574999998312,0.4172320000000127,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,90,0.0,0.0,0.0,0.0,64.85521436932105,0.2669648000000961,0.4651986000001216,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,90,0.0,0.0,0.0,0.0,64.85521436932105,0.2489626999999927,0.4682404000000133,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8,90,0.0,0.0,0.0,0.0,64.85521436932105,0.2849369000000479,0.4672453000000587,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,90,0.0,0.0,0.0,0.0,64.85521436932105,0.2329945999999836,0.468185799999901,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,10,90,0.0,0.0,0.0,0.0,64.85521436932105,0.2510151999999834,0.4662160000000312,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,11,90,0.0,0.0,0.0,0.0,64.85521436932105,0.2668674999999894,0.450316599999951,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,12,90,0.0,0.0,0.0,0.0,64.85521436932105,0.2839480999998613,0.4492580999999518,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,13,90,0.0,0.0,0.0,0.0,64.85521436932105,0.282944900000075,0.4841870000000199,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,14,90,0.0,0.0,0.0,0.0,64.85521436932105,0.2839756999999281,0.400245600000062,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,15,90,0.0,0.0,0.0,0.0,64.85521436932105,0.3169043999998848,0.4982617000000573,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,16,90,0.0,0.0,0.0,0.0,64.85521436932105,0.3019862999999532,0.4671571000001222,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,17,90,0.0,0.0,0.0,0.0,64.85521436932105,0.2669817000000876,0.4662551999999778,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,18,90,0.0,0.0,0.0,0.0,64.85521436932105,0.2499623000001065,0.5341084000001501,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,19,90,0.0,0.0,0.0,0.0,64.85521436932105,0.3499851000001399,0.4502261000000089,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.104158346509529,21,20,90,0.0,0.0,1.0,0.0,64.85521436932105,0.2828978999998526,0.6332500000000891,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.906673876761094,22,21,90,0.0,0.0,1.0,0.0,64.85521436932105,0.2837709000000359,0.482289099999889,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.41933071489355,23,22,90,0.0,0.0,1.0,0.0,64.85521436932105,0.2497850000002017,0.4832597000001897,high_uncertainty
