Unnamed: 0,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,no_uncertainty,low_uncertainty,high_uncertainty,unlimited_uncertainty,endpoint_theta,movement_time,movement_initiation_time,previous_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0.0,0.0,0.0,0.0,77.94485895343533,0.1169636000004175,0.4002113000001372,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,90,0.0,0.0,0.0,0.0,82.12407984188262,0.1319634999999834,0.4181785999999192,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,90,0.0,0.0,0.0,0.0,84.75945774668655,0.1488759000003483,0.4352883000001384,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,90,0.0,0.0,0.0,0.0,86.86971623002731,0.1669332000001304,0.4000266000002739,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,90,0.0,0.0,0.0,0.0,89.63217154158858,0.182862600000135,0.4832768000001124,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,90,0.0,0.0,0.0,0.0,88.47228333347117,0.1499347000003581,0.3672323000000688,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,90,0.0,0.0,0.0,0.0,90.22535764550165,0.4669251000000258,0.4332454000000325,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,90,0.0,0.0,0.0,0.0,90.0951636972708,0.132955800000218,0.383206699999846,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8,90,0.0,0.0,0.0,0.0,90.70827176504248,0.18396040000016,0.5162031999998362,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,90,0.0,0.0,0.0,0.0,88.50769158769606,0.1679496000001563,0.3832213000000593,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,10,90,0.0,0.0,0.0,0.0,92.99476723767192,0.2179825999996865,0.2651930999995784,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,11,90,0.0,0.0,0.0,0.0,83.21598926234488,0.1348923000000468,0.3652041999998801,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,12,90,0.0,0.0,0.0,0.0,87.91577162566655,0.1309348999998292,0.2852549000003819,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,13,90,0.0,0.0,0.0,0.0,93.03142558499732,0.1989749999997911,0.3511900000003152,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,14,90,0.0,0.0,0.0,0.0,93.5885259745237,0.2169346000000587,0.5142449999998462,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,15,90,0.0,0.0,0.0,0.0,89.54676679771377,0.2999270000000251,0.3661947000000509,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,16,90,0.0,0.0,0.0,0.0,90.05341317789183,0.2998897999996188,0.3502917999999226,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,17,90,0.0,0.0,0.0,0.0,89.55791576177131,0.3659118000000489,0.4342449999999189,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,18,90,0.0,0.0,0.0,0.0,86.00209639579907,0.3489202999999179,0.4512104999998882,no_uncertainty
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,19,90,0.0,0.0,0.0,0.0,88.23442382388117,0.2509408999999323,0.4002501999998458,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.104158346509529,21,20,90,0.0,0.0,1.0,0.0,90.9914657959164,0.2647631999998339,0.3002602999999908,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.906673876761094,22,21,90,0.0,0.0,1.0,0.0,91.91120942171122,0.383770199999617,0.3831551000002946,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.41933071489355,23,22,90,0.0,0.0,1.0,0.0,88.16643300435446,0.3178074000002198,0.5162267000000611,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,21.220513613689853,24,23,90,0.0,0.0,0.0,1.0,82.90616475602224,0.2998047000000952,0.4671902999998565,high_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.331653810933915,25,24,90,1.0,0.0,0.0,0.0,83.89495307848982,0.2666862999999466,0.3823771999996097,unlimited_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.897554711339415,26,25,90,0.0,1.0,0.0,0.0,85.12700404844871,0.2668408000004092,0.4832329000000754,no_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.178185922202406,27,26,90,0.0,1.0,0.0,0.0,79.62067238960229,0.2327993000003516,0.4672672000001512,low_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.762346304935686,28,27,90,1.0,0.0,0.0,0.0,83.39494044423375,0.2008178000000953,0.4001939999998285,low_uncertainty
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0983107117480975,29,28,90,0.0,0.0,1.0,0.0,82.29965748267738,0.2328078000000459,0.3832568000002538,no_uncertainty
