Unnamed: 0,trial,state,sample,time,x,y
0,95,search_ring,27392,456.5599358,0.7012991905212402,18.5191707611084
1,95,search_ring,27393,456.5786653,0.6833080053329468,18.46436882019043
2,95,search_ring,27394,456.5956208,0.6651403903961182,18.40805053710937
3,95,search_ring,27395,456.6136427,0.6449804902076721,18.341461181640625
4,95,search_ring,27396,456.6286268,0.6345590353012085,18.305326461791992
5,95,search_ring,27397,456.644609,0.6222569346427917,18.25944328308105
6,95,search_ring,27398,456.6616497,0.6116267442703247,18.21332359313965
7,95,search_ring,27399,456.678623,0.6009264588356018,18.161415100097656
8,95,search_ring,27400,456.6966251,0.5853219628334045,18.084747314453125
9,95,search_ring,27401,456.7116475,0.5737252831459045,18.032489776611328
10,95,search_ring,27402,456.7276241,0.5559277534484863,17.957651138305664
11,95,search_ring,27403,456.74462829999993,0.537020206451416,17.87567901611328
12,95,search_ring,27404,456.7615968,0.5161175727844238,17.77974510192871
13,95,search_ring,27405,456.7786264,0.4926649332046509,17.663501739501953
14,95,search_ring,27406,456.7966339999999,0.4580226242542267,17.489286422729492
15,95,search_ring,27407,456.8116211,0.4345552921295166,17.371814727783203
16,95,search_ring,27408,456.8296983,0.3994283676147461,17.19928550720215
17,95,search_ring,27409,456.8446625,0.3601430356502533,17.003812789916992
18,95,search_ring,27410,456.8616256,0.3167346715927124,16.78000259399414
19,95,search_ring,27411,456.8786391,0.2702218294143677,16.52432632446289
20,95,search_ring,27412,456.8968100999999,0.2134270519018173,16.16914939880371
21,95,search_ring,27413,456.9116968999999,0.1824026703834533,15.943729400634766
22,95,search_ring,27414,456.9276537,0.1428316086530685,15.630139350891112
23,95,search_ring,27415,456.944611,0.1014223098754882,15.29568099975586
24,95,search_ring,27416,456.9616274,0.05686467140913,14.93480396270752
25,95,search_ring,27417,456.9786002,0.0106006925925612,14.554168701171877
26,95,search_ring,27418,456.99662749999993,-0.0412320829927921,14.079898834228516
27,95,search_ring,27419,457.0116141,-0.0694663822650909,13.800705909729004
28,95,search_ring,27420,457.02863819999993,-0.1071095615625381,13.431373596191406
29,95,search_ring,27421,457.0446204,-0.1455859243869781,13.060665130615234
30,95,search_ring,27422,457.0616414,-0.1858200430870056,12.684843063354492
31,95,search_ring,27423,457.07860729999993,-0.231088787317276,12.299503326416016
32,95,search_ring,27424,457.0966178,-0.2977355718612671,11.804524421691896
33,95,search_ring,27425,457.1116299,-0.341728925704956,11.498579978942873
34,95,search_ring,27426,457.1276101,-0.4027553498744964,11.07971477508545
35,95,search_ring,27427,457.1446283,-0.4620919525623321,10.65342903137207
36,95,search_ring,27428,457.1616027,-0.5144044756889343,10.228776931762695
37,95,search_ring,27429,457.1776540999999,-0.5569365620613098,9.813472747802734
38,95,search_ring,27430,457.1946181999999,-0.5872237682342529,9.41016960144043
39,95,search_ring,27431,457.212631,-0.6038699150085449,9.0211820602417
40,95,search_ring,27432,457.2286108999999,-0.6070491671562195,8.646920204162598
41,95,search_ring,27433,457.2446654,-0.5983814001083374,8.286844253540039
42,95,search_ring,27434,457.2606383,-0.5830278396606445,7.936199188232422
43,95,search_ring,27435,457.2786459,-0.5655518770217896,7.594638824462891
44,95,search_ring,27436,457.296665,-0.5409383177757263,7.191059589385986
45,95,search_ring,27437,457.3116524,-0.5210213661193848,6.953092575073242
46,95,search_ring,27438,457.3276475,-0.491457849740982,6.653221607208252
47,95,search_ring,27439,457.3446395,-0.4588525891304016,6.362672805786133
48,95,search_ring,27440,457.3616419,-0.424576461315155,6.082067489624023
49,95,search_ring,27441,457.3786086,-0.3884141445159912,5.81308126449585
50,95,search_ring,27442,457.3956297,-0.351623386144638,5.559659004211426
51,95,search_ring,27443,457.4136549,-0.307130217552185,5.263371467590332
52,95,search_ring,27444,457.4286439,-0.2814194560050964,5.092948913574219
53,95,search_ring,27445,457.4446279,-0.2478887289762497,4.87196159362793
54,95,search_ring,27446,457.4616427,-0.2151678055524826,4.657041072845459
55,95,search_ring,27447,457.478653,-0.184513971209526,4.449310302734375
56,95,search_ring,27448,457.4966514,-0.1493676155805587,4.197989940643311
57,95,search_ring,27449,457.5116366,-0.1303396821022033,4.051161766052246
58,95,search_ring,27450,457.5276364,-0.1056686267256736,3.861751317977905
59,95,search_ring,27451,457.5446548,-0.0805163905024528,3.681725263595581
