,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,instruct_phase,instruct_state,endpoint_theta,movement_time,movement_initiation_time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.274043051204978,1,1,180,"Please slice through the target as quickly and accurately as possible.
You will not see the cursor during this phase.",1.0,-176.9110627565887,0.34988890000022366,0.6990556999990076
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.635341966724775,2,1,105,,1.0,115.84666045445312,1.0349910000004456,0.7001974000013433
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.021463603992101,3,1,270,,1.0,-81.3471934974581,0.20095260000016424,0.49921899999935704
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.360640530551116,4,1,90,,1.0,96.34254657432973,0.5829546000004484,0.5001777999987098
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62119902112113,5,1,60,,1.0,52.49345126034051,0.18298929999946267,0.5001952999991772
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.150139262470554,6,1,120,,1.0,134.42547579828175,0.16802060000009078,0.44921070000054897
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.960000154848,7,1,315,,1.0,-47.00430978825342,0.15096359999915876,0.48418370000035793
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.801130889087023,8,1,45,,1.0,45.024349318496625,0.09996099999989383,0.3671567999990657
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.476177487436194,9,1,0,,1.0,4.301864361192829,0.14994800000022224,0.40021490000071935
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.65694215238559,10,1,75,,1.0,74.85241191123693,0.13201269999990473,0.43517489999976533
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7968979446397935,11,1,225,,1.0,-135.55920599467902,0.4169523000000481,0.05017239999870071
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.133894758426177,12,1,135,,1.0,141.63451025685373,0.1489731000001484,0.36715650000041933
