target,average
0,-2.4955660816000003
15,-18.768587175555556
30,-20.04776512625
60,-15.395783530999998
75,-7.4865079739999985
90,-1.4764446249999992
135,-3.062611629999998
180,4.478614189999999
-135,0.9649179300000015
-90,2.3707256880000003
-45,-2.9322576810000003
