target,average
0,2.7890037811
45,2.4200957240000007
90,2.888135582000001
105,3.7278105260000003
120,3.1824886700000006
150,7.725166660000002
165,8.867375655555556
180,12.76257678
-135,-0.2317038111111079
-90,-2.375008100999999
-45,1.5549779659999992
