cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,no_uncertainty,low_uncertainty,high_uncertainty,unlimited_uncertainty,trial,cycle,target_angle
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,10,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,11,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,12,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,13,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,14,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,15,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,16,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,17,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,18,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,19,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.104158346509529,0.0,0.0,1.0,0.0,21,20,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.906673876761094,0.0,0.0,1.0,0.0,22,21,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.41933071489355,0.0,0.0,1.0,0.0,23,22,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,21.220513613689853,0.0,0.0,0.0,1.0,24,23,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.331653810933915,1.0,0.0,0.0,0.0,25,24,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.897554711339417,0.0,1.0,0.0,0.0,26,25,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.178185922202406,0.0,1.0,0.0,0.0,27,26,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.762346304935686,1.0,0.0,0.0,0.0,28,27,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0983107117480975,0.0,0.0,1.0,0.0,29,28,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.62261031520079,0.0,0.0,1.0,0.0,30,29,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.194619793474185,0.0,0.0,1.0,0.0,31,30,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.150214451341697,0.0,0.0,1.0,0.0,32,31,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.445835568856555,1.0,0.0,0.0,0.0,33,32,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.66712560771612,0.0,0.0,1.0,0.0,34,33,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.141666666601314,1.0,0.0,0.0,0.0,35,34,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.799867282573715,0.0,0.0,1.0,0.0,36,35,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.59424398016849,1.0,0.0,0.0,0.0,37,36,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.858651285067593,0.0,0.0,1.0,0.0,38,37,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.990811999340176,1.0,0.0,0.0,0.0,39,38,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.75091580303924,0.0,0.0,1.0,0.0,40,39,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.647772147483641,0.0,0.0,0.0,1.0,41,40,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.714629310567672,1.0,0.0,0.0,0.0,42,41,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.950746469829213,0.0,1.0,0.0,0.0,43,42,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.449207610375664,0.0,0.0,0.0,1.0,44,43,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.614995932802564,0.0,1.0,0.0,0.0,45,44,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.090541579458501,1.0,0.0,0.0,0.0,46,45,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.700466130259649,0.0,1.0,0.0,0.0,47,46,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.252534372801179,0.0,1.0,0.0,0.0,48,47,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.459602524540468,0.0,0.0,0.0,1.0,49,48,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.205506657539177,1.0,0.0,0.0,0.0,50,49,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.319729890948858,1.0,0.0,0.0,0.0,51,50,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.9495762397528775,0.0,0.0,1.0,0.0,52,51,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.70225170205265,0.0,1.0,0.0,0.0,53,52,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.321296367447955,0.0,0.0,1.0,0.0,54,53,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.15017261824864,1.0,0.0,0.0,0.0,55,54,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.083588055894286,0.0,0.0,0.0,1.0,56,55,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.15289508285309,0.0,0.0,0.0,1.0,57,56,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.79771645417801,0.0,1.0,0.0,0.0,58,57,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.121699610141683,0.0,1.0,0.0,0.0,59,58,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.48019021468962,0.0,0.0,1.0,0.0,60,59,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.331259571646715,0.0,0.0,0.0,1.0,61,60,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.518993530983177,0.0,0.0,1.0,0.0,62,61,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.25295464177032,0.0,1.0,0.0,0.0,63,62,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.910905456944565,0.0,0.0,1.0,0.0,64,63,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.962370096825861,1.0,0.0,0.0,0.0,65,64,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.431279677869597,0.0,0.0,0.0,1.0,66,65,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.85410334200798,1.0,0.0,0.0,0.0,67,66,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.308032200467485,0.0,1.0,0.0,0.0,68,67,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.833256230193111,1.0,0.0,0.0,0.0,69,68,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.135079118337341,1.0,0.0,0.0,0.0,70,69,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.2675720382776223,0.0,1.0,0.0,0.0,71,70,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.642739639063732,0.0,0.0,0.0,1.0,72,71,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.951989051898993,0.0,0.0,1.0,0.0,73,72,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.213017625401543,0.0,0.0,0.0,1.0,74,73,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.239002365826016,1.0,0.0,0.0,0.0,75,74,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.217030484433296,0.0,0.0,1.0,0.0,76,75,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.8701377727135533,0.0,1.0,0.0,0.0,77,76,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.061959562252818,1.0,0.0,0.0,0.0,78,77,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.374643531301224,0.0,1.0,0.0,0.0,79,78,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.650678527836797,0.0,0.0,0.0,1.0,80,79,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.07160171985686,0.0,0.0,1.0,0.0,81,80,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.339716699714733,0.0,1.0,0.0,0.0,82,81,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.821553689793209,1.0,0.0,0.0,0.0,83,82,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.686230914919111,0.0,0.0,0.0,1.0,84,83,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,21.720556073602502,0.0,0.0,1.0,0.0,85,84,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.240834205409639,0.0,0.0,1.0,0.0,86,85,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.75624896060949,1.0,0.0,0.0,0.0,87,86,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.34957055204451,0.0,0.0,0.0,1.0,88,87,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.45439151738043,0.0,0.0,1.0,0.0,89,88,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.2922028941008,0.0,1.0,0.0,0.0,90,89,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.928306119906967,0.0,1.0,0.0,0.0,91,90,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.002179802942585,1.0,0.0,0.0,0.0,92,91,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.287930984842209,0.0,0.0,0.0,1.0,93,92,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.833255367671445,0.0,0.0,0.0,1.0,94,93,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.737191085051201,0.0,0.0,0.0,1.0,95,94,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.989239168873397,0.0,1.0,0.0,0.0,96,95,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.710506072343474,0.0,0.0,0.0,1.0,97,96,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.117494616090536,0.0,0.0,0.0,1.0,98,97,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.483048335965943,0.0,1.0,0.0,0.0,99,98,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.854048769072052,1.0,0.0,0.0,0.0,100,99,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.6012001420379525,0.0,0.0,0.0,1.0,101,100,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.324728208750866,1.0,0.0,0.0,0.0,102,101,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.044096586612284,0.0,1.0,0.0,0.0,103,102,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.8119819841747935,0.0,0.0,0.0,1.0,104,103,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.43889000518623,1.0,0.0,0.0,0.0,105,104,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.365181056511432,0.0,0.0,1.0,0.0,106,105,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.045886817449144,1.0,0.0,0.0,0.0,107,106,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.983213984808277,0.0,0.0,0.0,1.0,108,107,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.458110450273228,0.0,1.0,0.0,0.0,109,108,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.633697905511308,0.0,1.0,0.0,0.0,110,109,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.830550957726263,0.0,1.0,0.0,0.0,111,110,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.709058906981031,0.0,0.0,1.0,0.0,112,111,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.101529881062945,0.0,1.0,0.0,0.0,113,112,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.121970044233414,0.0,0.0,1.0,0.0,114,113,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.467317067378868,0.0,1.0,0.0,0.0,115,114,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.525619978676568,0.0,1.0,0.0,0.0,116,115,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.341441193394807,0.0,1.0,0.0,0.0,117,116,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.386315235032793,0.0,0.0,1.0,0.0,118,117,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.109659574595865,0.0,0.0,0.0,1.0,119,118,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.37453901577669,0.0,0.0,1.0,0.0,120,119,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.555972728048284,0.0,0.0,1.0,0.0,121,120,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.177807235066023,0.0,0.0,0.0,1.0,122,121,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.330639419400725,0.0,0.0,1.0,0.0,123,122,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.118319677051032,1.0,0.0,0.0,0.0,124,123,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.68060959062467,1.0,0.0,0.0,0.0,125,124,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.48117394523967,1.0,0.0,0.0,0.0,126,125,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.3288438859608,0.0,0.0,0.0,1.0,127,126,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.022374544172139,1.0,0.0,0.0,0.0,128,127,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.285719550323484,0.0,1.0,0.0,0.0,129,128,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.584154272386638,0.0,0.0,0.0,1.0,130,129,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.513407185770516,0.0,0.0,0.0,1.0,131,130,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.943423220942758,1.0,0.0,0.0,0.0,132,131,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.710953725879435,0.0,0.0,1.0,0.0,133,132,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.131127696818329,1.0,0.0,0.0,0.0,134,133,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.347746050447876,0.0,0.0,1.0,0.0,135,134,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.673964360819083,0.0,1.0,0.0,0.0,136,135,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.313308930323789,1.0,0.0,0.0,0.0,137,136,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.5632137722597195,0.0,0.0,0.0,1.0,138,137,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.81721702655788,0.0,0.0,1.0,0.0,139,138,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.291743914073862,0.0,0.0,1.0,0.0,140,139,90
