,cursor_vis,endpoint_vis,clamp,rot,trial,cycle_phase,target_angle,instruct_phase,instruct_state,endpoint_theta,movement_time,movement_initiation_time
0,0.0,0.0,0.0,0.4611347555176934,1,1,0,"Please slice through the target as quickly and accurately as possible.
You will not see the cursor during this phase.",1.0,64.79887635452492,0.09880729999986215,1.1162131000000954
0,0.0,0.0,0.0,1.9135162748545536,2,1,270,,1.0,64.79887635452492,0.09981739999966521,0.5332258999997066
0,0.0,0.0,0.0,0.5628433816279086,3,1,315,,1.0,64.79887635452492,0.116834899999958,0.6001318999997238
0,0.0,0.0,0.0,1.3528228682699843,4,1,225,,1.0,64.79887635452492,0.08386009999958333,0.5331808999999339
0,0.0,0.0,0.0,1.172449703817614,5,1,135,,1.0,64.79887635452492,0.09985439999945811,0.7331727000000683
0,0.0,0.0,0.0,0.5791555434645849,6,1,105,,1.0,64.79887635452492,0.0987992000000304,1.33422949999931
0,0.0,0.0,0.0,1.3795657993114918,7,1,90,,1.0,64.79887635452492,0.11586989999977959,0.5501432000000932
0,0.0,0.0,0.0,0.3289021652380011,8,1,120,,1.0,64.79887635452492,0.09984379999968951,0.5821742999996786
0,0.0,0.0,0.0,-1.5202603458243849,9,1,45,,1.0,64.79887635452492,0.06781200000023091,0.5832173999997394
0,0.0,0.0,0.0,-0.9855970193016028,10,1,150,,1.0,64.79887635452492,0.08382540000002336,0.5671675999992658
0,0.0,0.0,0.0,-2.016199587718495,11,1,165,,1.0,64.79887635452492,0.09984299999996438,0.500152500000695
0,0.0,0.0,0.0,1.6097209482559918,12,1,180,,1.0,64.79887635452492,0.09886800000003859,0.6341965000001437
0,0.0,0.0,0.0,0.8243970888821288,13,2,270,,1.0,64.79887635452492,0.08289950000016688,0.6481440999996266
0,0.0,0.0,0.0,-0.8836387431232751,14,2,90,,1.0,64.79887635452492,0.23484779999944294,0.5501754999995683
0,0.0,0.0,0.0,0.5323714130268205,15,2,0,,1.0,64.79887635452492,0.08289569999942614,0.650149799999781
0,0.0,0.0,0.0,-0.5381890830207496,16,2,165,,1.0,64.79887635452492,0.08298910000030446,0.599193799999739
0,0.0,0.0,0.0,-0.1994422527817614,17,2,150,,1.0,64.79887635452492,0.08365469999989728,0.5513599000005343
0,0.0,0.0,0.0,-2.38519586990009,18,2,135,,1.0,64.79887635452492,0.10082349999993312,0.5162171000001763
0,0.0,0.0,0.0,0.8161470192357967,19,2,105,,1.0,64.79887635452492,0.09886610000012297,0.5511678000002576
0,0.0,0.0,0.0,-0.0372903174061785,20,2,180,,1.0,64.79887635452492,0.44976090000000113,0.31524439999975584
0,0.0,0.0,0.0,-0.6119012618297541,21,2,315,,1.0,64.79887635452492,0.11582289999932982,0.4322165000003224
0,0.0,0.0,0.0,0.0791955718852835,22,2,120,,1.0,64.79887635452492,0.10073610000017652,0.48325999999997293
0,0.0,0.0,0.0,2.5860313593121447,23,2,225,,1.0,64.79887635452492,0.09897510000064358,0.6821663000000626
0,0.0,0.0,0.0,-0.997225181583051,24,2,45,,1.0,64.79887635452492,0.09987029999956576,0.5161905999993905
0,0.0,0.0,0.0,0.0774581510844298,25,3,150,,1.0,64.79887635452492,0.09886740000001737,0.5172702999998364
0,0.0,0.0,0.0,-1.6411157792875015,26,3,165,,1.0,64.79887635452492,0.11681719999978668,0.6492017000000487
0,0.0,0.0,0.0,0.0896438063398034,27,3,315,,1.0,64.79887635452492,0.099839499999689,0.5181791999993948
0,0.0,0.0,0.0,2.7797823941253337,28,3,180,,1.0,64.79887635452492,0.09896909999952186,0.4841993999998522
0,0.0,0.0,0.0,-1.629392528897217,29,3,270,,1.0,64.79887635452492,0.08380060000035883,0.449248500000067
0,0.0,0.0,0.0,-0.3794198914674138,30,3,45,,1.0,64.79887635452492,0.06686460000037187,0.8171916000001147
0,0.0,0.0,0.0,1.3982996910206384,31,3,0,,1.0,64.79887635452492,0.06583880000016507,0.599206800000502
0,0.0,0.0,0.0,1.82462989959734,32,3,225,,1.0,64.79887635452492,0.08195210000030784,0.6001931000000695
0,0.0,0.0,0.0,-0.142191019087294,33,3,120,,1.0,94.82076607809266,0.09885080000003654,0.648124800000005
0,0.0,0.0,0.0,-0.6638532987613941,34,3,135,,1.0,92.12109639666146,0.08496460000060324,0.5151371000001745
0,0.0,0.0,0.0,-0.0903307391039409,35,3,105,,1.0,91.43209618416466,0.09983389999979408,0.4992208000003302
0,0.0,0.0,0.0,1.451611027342913,36,3,90,,1.0,91.43209618416466,0.09986470000058034,0.9501778000003469
0,0.0,0.0,0.0,-0.2114303812376159,37,4,165,,1.0,91.43209618416466,0.09984459999941464,0.5840864000001602
0,0.0,0.0,0.0,0.7542811420517604,38,4,105,,1.0,91.43209618416466,0.11381530000016937,0.5001620000002731
0,0.0,0.0,0.0,0.608649677429846,39,4,315,,1.0,91.43209618416466,0.09780090000003838,0.48622160000013537
0,0.0,0.0,0.0,0.309094363030322,40,4,0,,1.0,91.43209618416466,0.09884370000054332,0.6171970000004876
0,0.0,0.0,0.0,-0.9931108287562148,41,4,120,,1.0,91.43209618416466,0.10072440000021743,0.5172962999995434
0,0.0,0.0,0.0,1.600435337461621,42,4,135,,1.0,91.43209618416466,0.09986939999998867,0.5323485999997501
0,0.0,0.0,0.0,0.74456173814539,43,4,180,,1.0,91.43209618416466,0.0998978999996325,0.4991810000001351
0,0.0,0.0,0.0,-0.1392995897269232,44,4,270,,1.0,91.43209618416466,0.09979440000006434,0.4001211000004332
