,cursor_vis,endpoint_vis,clamp,rot,trial,cycle_phase,target_angle,instruct_phase,instruct_state,endpoint_theta,movement_time,movement_initiation_time
0,0.0,0.0,0.0,-0.4460427605148293,1,1,90,"Please slice through the target as quickly and accurately as possible.
You will not see the cursor during this phase.",1.0,42.08916217383224,0.8498365999985253,0.03221060000032594
0,0.0,0.0,0.0,0.910311410605358,2,1,270,,1.0,42.08916217383224,0.09987130000081379,0.5001554000009492
0,0.0,0.0,0.0,1.159875875019664,3,1,0,,1.0,42.342609317094514,0.11585589999958756,0.4841558000007353
0,0.0,0.0,0.0,-0.0876774679404745,4,1,180,,1.0,42.342609317094514,0.13189870000132942,0.4341442000004463
0,0.0,0.0,0.0,1.7394728430619864,5,1,75,,1.0,42.342609317094514,0.09884659999988799,0.38419449999855715
0,0.0,0.0,0.0,0.0738994948286888,6,1,60,,1.0,42.342609317094514,0.09785109999938868,0.43516769999951066
0,0.0,0.0,0.0,-1.7037418617936928,7,1,315,,1.0,42.342609317094514,0.13402309999946738,0.5161389000004419
0,0.0,0.0,0.0,2.1880649879418117,8,1,30,,1.0,42.342609317094514,0.1328473000012309,0.36719129999983124
0,0.0,0.0,0.0,-1.1033737544692337,9,1,225,,1.0,42.342609317094514,0.082854899999802,0.46714869999959774
0,0.0,0.0,0.0,-2.083039001766456,10,1,135,,1.0,42.342609317094514,0.11784389999957057,0.3341634000007616
0,0.0,0.0,0.0,-1.2502659939021654,11,1,45,,1.0,42.342609317094514,0.09985150000102294,0.4322171999992861
0,0.0,0.0,0.0,1.1309874416711958,12,1,15,,1.0,42.342609317094514,0.11586549999992712,0.40019369999936316
0,0.0,0.0,0.0,2.054579584144554,13,2,0,,1.0,42.342609317094514,0.13281239999923855,0.48418519999904674
0,0.0,0.0,0.0,-0.3233248090097317,14,2,45,,1.0,42.342609317094514,0.0998420999985683,0.5001582999993843
0,0.0,0.0,0.0,0.8245240634362283,15,2,30,,1.0,42.342609317094514,0.09986060000119323,0.45015220000095724
0,0.0,0.0,0.0,-1.7579606415028983,16,2,315,,1.0,42.342609317094514,0.13282749999962107,0.4182476999994833
0,0.0,0.0,0.0,-0.4941696148725973,17,2,90,,1.0,42.342609317094514,0.11582319999979518,0.3842278999982227
