,trial,state,sample,time,x,y
0,0,move,434,3.686804874916561,1.7578125,11.19140625
1,0,move,435,3.6971550419693813,1.7578125,11.19140625
2,0,move,436,3.699832791928202,1.7578125,11.19140625
3,0,move,437,3.710979208932258,1.7578125,11.19140625
4,0,move,438,3.713174666976556,1.7578125,11.19140625
5,0,move,439,3.727632249938324,1.7578125,11.19140625
6,0,move,440,3.7300800839439034,1.7578125,11.19140625
7,0,move,441,3.7463395840022713,1.7578125,11.19140625
8,0,move,442,3.748942208942026,1.7578125,11.19140625
9,0,move,443,3.761364792007953,1.7578125,11.19140625
10,0,move,444,3.763986916979775,1.7578125,11.19140625
11,0,move,445,3.7782137088943273,1.7578125,11.19140625
12,0,move,446,3.7811962919076905,1.7578125,11.19140625
13,0,move,447,3.7945186248980463,1.7578125,11.19140625
14,0,move,448,3.7971182089531794,1.7578125,11.19140625
15,0,move,449,3.8113199999788776,1.7578125,11.19140625
16,0,move,450,3.8144944589585066,1.7578125,11.19140625
17,0,move,451,3.8279523339588195,1.7578125,11.19140625
18,0,move,452,3.8303327499888837,1.7578125,11.19140625
19,0,move,453,3.8442289169179276,1.7578125,11.19140625
20,0,move,454,3.846484666923061,1.7578125,11.19140625
21,0,move,455,3.861144791939296,1.7578125,11.19140625
22,0,move,456,3.8633352499455214,1.7578125,11.19140625
23,0,move,457,3.8774606669321656,1.7578125,11.19140625
24,0,move,458,3.87937779200729,1.7578125,11.19140625
25,0,move,459,3.896632874966599,1.7578125,11.19140625
26,0,move,460,3.9014190839370713,1.7578125,11.19140625
27,0,move,461,3.9128167919116095,1.7578125,11.19140625
28,0,move,462,3.92963141691871,1.7578125,11.19140625
29,0,move,463,3.9334700419567525,1.7578125,11.19140625
30,0,move,464,3.9455727089662105,1.7578125,11.19140625
31,0,move,465,3.9490360419731587,1.7578125,11.19140625
32,0,move,466,3.961598999914713,1.7578125,11.19140625
33,0,move,467,3.9648005419876426,1.7578125,11.19140625
34,0,move,468,3.9785259169293568,1.7578125,11.19140625
35,0,move,469,3.9819310839520767,1.7578125,11.19140625
36,0,move,470,3.9953737918986008,1.7578125,11.19140625
37,0,move,471,3.9989275839179754,1.7578125,11.19140625
38,0,move,472,4.011617042007856,1.7578125,11.19140625
39,0,move,473,4.014923624927178,1.7578125,11.19140625
40,0,move,474,4.028662833967246,1.7578125,11.19140625
41,0,move,475,4.031847749953158,1.7578125,11.19140625
42,0,move,476,4.044865499949083,1.7578125,11.19140625
43,0,move,477,4.048029499943368,1.7578125,11.19140625
44,0,move,478,4.062088458915241,1.7578125,11.19140625
45,0,move,479,4.065482374979183,1.7578125,11.19140625
46,0,move,480,4.078922124928795,1.7578125,11.19140625
47,0,move,481,4.082336874911562,1.7578125,11.19140625
48,0,move,482,4.094965833937749,1.7578125,11.19140625
49,0,move,483,4.0984108339762315,1.7578125,11.19140625
50,0,move,484,4.111867249943316,1.7578125,11.19140625
51,0,move,485,4.11528799997177,1.7578125,11.19140625
52,0,move,486,4.128556458977982,1.7578125,11.19140625
53,0,move,487,4.131879916996695,1.7578125,11.19140625
54,0,move,488,4.145388624980114,1.7578125,11.19140625
55,0,move,489,4.1487709999782965,1.7578125,11.19140625
56,0,move,490,4.162060666945763,1.7578125,11.19140625
57,0,move,491,4.16676574992016,1.7578125,11.19140625
58,0,move,492,4.178006708971225,1.7578125,11.19140625
59,0,move,493,4.181231249938719,1.7578125,11.19140625
60,0,move,494,4.195356374955736,1.7578125,11.19140625
61,0,move,495,4.198673542006873,1.7578125,11.19140625
62,0,move,496,4.212054124916904,1.7578125,11.19140625
63,0,move,497,4.215458458987996,1.7578125,11.19140625
64,0,move,498,4.228567249956541,1.7578125,11.19140625
65,0,move,499,4.231825124938041,1.7578125,11.19140625
66,0,move,500,4.2453083749860525,1.7578125,11.19140625
67,0,move,501,4.24855416698847,1.7578125,11.19140625
68,0,move,502,4.261928958934732,1.7578125,11.19140625
69,0,move,503,4.2652788339182734,1.7578125,11.19140625
70,0,move,504,4.278704541968182,1.7578125,11.19140625
71,0,move,505,4.281943916925229,1.7578125,11.19140625
72,0,move,506,4.29495999997016,1.7578125,11.19140625
73,0,move,507,4.298185291932896,1.7578125,11.19140625
74,0,move,508,4.312041624914855,1.7578125,11.19140625
75,0,move,509,4.315385874942876,1.7578125,11.19140625
76,0,move,510,4.328715084004216,1.7578125,11.19140625
77,0,move,511,4.332083166926168,1.7578125,11.19140625
78,0,move,512,4.344906041980721,1.7578125,11.19140625
79,0,move,513,4.348259374964982,1.7578125,11.19140625
80,0,move,514,4.361818833975121,1.7578125,11.19140625
81,0,move,515,4.365211083902977,1.7578125,11.19140625
82,0,move,516,4.3787145839305595,1.7578125,11.19140625
83,0,move,517,4.382025916944258,1.7578125,11.19140625
84,0,move,518,4.395364624913782,1.7578125,11.19140625
85,0,move,519,4.398706208914518,1.7578125,11.19140625
86,0,move,520,4.412011333974078,1.7578125,11.19140625
87,0,move,521,4.415393874980509,1.7578125,11.19140625
88,0,move,522,4.428657958982512,1.7578125,11.19140625
89,0,move,523,4.4319873749045655,1.7578125,11.19140625
90,0,move,524,4.445437166956253,1.7578125,11.19140625
0,1,move,591,5.01755237497855,1.7578125,11.19140625
1,1,move,592,5.035191249917261,1.7578125,11.19140625
2,1,move,593,5.04146962496452,1.7578125,11.19140625
3,1,move,594,5.061795249930583,1.7578125,11.19140625
4,1,move,595,5.078267249977216,1.7578125,11.19140625
5,1,move,596,5.081379124894738,1.7578125,11.19140625
6,1,move,597,5.096961166942492,1.7578125,11.19140625
