trial,theta,previous_uncertainty
164,5.609928762620852,no_uncertainty
165,6.327081771240666,high_uncertainty
166,5.287836871549302,high_uncertainty
167,4.662467661202518,unlimited_uncertainty
168,7.888023579003837,no_uncertainty
169,4.899828981274981,low_uncertainty
170,6.872720519331166,high_uncertainty
171,5.863000064553009,no_uncertainty
172,5.381882270520135,low_uncertainty
173,5.2249758427809265,no_uncertainty
174,4.78660850815397,low_uncertainty
175,4.86126632374156,low_uncertainty
176,7.0625869325417,no_uncertainty
177,5.3365764449389825,unlimited_uncertainty
178,5.421023331230726,unlimited_uncertainty
179,5.282862287046461,low_uncertainty
180,6.235925501771421,high_uncertainty
181,4.8839930606072475,low_uncertainty
182,5.257850258857034,low_uncertainty
183,6.126658844414916,unlimited_uncertainty
184,4.557820695546454,unlimited_uncertainty
185,6.7188841380143005,unlimited_uncertainty
186,4.630460773227751,unlimited_uncertainty
187,4.042891737264894,unlimited_uncertainty
188,7.0066952698845055,high_uncertainty
189,6.872427112266058,no_uncertainty
190,6.6260889664818166,no_uncertainty
191,5.301930592053018,high_uncertainty
192,8.038590676213492,low_uncertainty
193,4.900536622124717,high_uncertainty
194,6.312893565585484,unlimited_uncertainty
195,6.850591686560554,low_uncertainty
196,5.999796946110091,high_uncertainty
197,5.450360256201824,unlimited_uncertainty
198,4.91964673709072,low_uncertainty
199,4.7969201177851515,unlimited_uncertainty
200,5.49485571620164,no_uncertainty
201,4.416618182724424,washout_unlimited_uncertainty
202,3.9461245698847023,washout_unlimited_uncertainty
203,3.335799125441556,washout_unlimited_uncertainty
204,4.645678337833369,washout_unlimited_uncertainty
205,4.645188349420125,washout_unlimited_uncertainty
206,4.424856768518857,washout_unlimited_uncertainty
207,4.024859447611839,washout_unlimited_uncertainty
208,4.426660627860633,washout_unlimited_uncertainty
209,3.570294049052774,washout_unlimited_uncertainty
210,2.8223287373473425,washout_unlimited_uncertainty
211,3.8113535717743092,washout_unlimited_uncertainty
212,3.6847154057754885,washout_unlimited_uncertainty
213,3.8333566693361734,washout_unlimited_uncertainty
214,3.932904986186009,washout_unlimited_uncertainty
215,4.519053819127446,washout_unlimited_uncertainty
216,3.7770954271981885,washout_unlimited_uncertainty
217,3.7845493711382425,washout_unlimited_uncertainty
218,3.6432654739150023,washout_unlimited_uncertainty
219,4.208534654744971,washout_unlimited_uncertainty
220,3.3215969551285935,washout_unlimited_uncertainty
221,3.146685789053913,washout_unlimited_uncertainty
222,3.6883730740787,washout_unlimited_uncertainty
223,3.292504821296082,washout_unlimited_uncertainty
224,2.4170036313785324,washout_unlimited_uncertainty
225,3.7893584754346215,washout_unlimited_uncertainty
226,2.955058895557932,washout_unlimited_uncertainty
227,2.8446011240899125,washout_unlimited_uncertainty
228,3.44634706302552,washout_unlimited_uncertainty
229,3.4661803030863574,washout_unlimited_uncertainty
230,3.3585482555216912,washout_unlimited_uncertainty
231,4.6380288565887495,washout_unlimited_uncertainty
232,2.5855415167951845,washout_unlimited_uncertainty
233,3.853060086395285,washout_unlimited_uncertainty
234,3.3080431728426625,washout_unlimited_uncertainty
235,2.821109646569262,washout_unlimited_uncertainty
236,4.171342421699697,washout_unlimited_uncertainty
237,3.096769756339448,washout_unlimited_uncertainty
238,2.5410560166488807,washout_unlimited_uncertainty
239,3.554077888641919,washout_unlimited_uncertainty
240,4.209487767319269,washout_unlimited_uncertainty
241,3.4075084632420327,washout_unlimited_uncertainty
242,5.032043555287553,washout_unlimited_uncertainty
243,2.5889852402409637,washout_unlimited_uncertainty
244,2.365666183614645,washout_unlimited_uncertainty
245,4.36116720917585,washout_unlimited_uncertainty
246,4.397607156232711,washout_unlimited_uncertainty
247,2.879069036160048,washout_unlimited_uncertainty
248,3.4130541065364364,washout_unlimited_uncertainty
249,3.865339680215892,washout_unlimited_uncertainty
250,2.8951690157640697,washout_unlimited_uncertainty
251,3.580090061034089,washout_unlimited_uncertainty
252,3.779028577595195,washout_unlimited_uncertainty
253,3.693171963652283,washout_unlimited_uncertainty
254,3.5825221470265873,washout_unlimited_uncertainty
255,4.679487437853054,washout_unlimited_uncertainty
256,3.043534154622668,washout_unlimited_uncertainty
257,4.414055814080668,washout_unlimited_uncertainty
258,4.100080932445467,washout_unlimited_uncertainty
259,3.9984051589327434,washout_unlimited_uncertainty
260,2.9844543395237353,washout_unlimited_uncertainty
261,2.4147199777727586,washout_unlimited_uncertainty
262,3.6022313274565034,washout_unlimited_uncertainty
263,3.547594223504543,washout_unlimited_uncertainty
264,4.583411909332623,washout_unlimited_uncertainty
265,3.8858293602140854,washout_unlimited_uncertainty
266,3.074740203143711,washout_unlimited_uncertainty
267,4.469045950321513,washout_unlimited_uncertainty
268,3.027945243393033,washout_unlimited_uncertainty
269,3.3274479622347686,washout_unlimited_uncertainty
270,2.908044403613757,washout_unlimited_uncertainty
271,3.8320506793537747,washout_unlimited_uncertainty
272,3.4403234867817587,washout_unlimited_uncertainty
273,3.8736773180333492,washout_unlimited_uncertainty
274,4.098353645658721,washout_unlimited_uncertainty
275,2.8241237193286324,washout_unlimited_uncertainty
276,2.581013238939877,washout_unlimited_uncertainty
277,3.9303497993501595,washout_unlimited_uncertainty
278,4.296192293174042,washout_unlimited_uncertainty
279,4.163269345740052,washout_unlimited_uncertainty
280,3.5339906781359653,washout_unlimited_uncertainty
281,5.130102117093062,washout_unlimited_uncertainty
282,4.513213136415798,washout_unlimited_uncertainty
283,4.754341271657487,washout_unlimited_uncertainty
284,4.2786462773379,washout_unlimited_uncertainty
285,3.6287162772022428,washout_unlimited_uncertainty
286,4.393623081140614,washout_unlimited_uncertainty
